Timestamp (raw),Age (raw),Gender (raw),Graduation Year (raw),Language Number (raw),Current Course (raw),First Course (raw),Background (raw),Reading Proficiency (raw),Writing Proficiency (raw),Listening Comprehension Proficiency (raw),Speaking Proficiency (raw),Overhear (raw),Overhear Year (raw),Overhear Year (clean),Overhear Location (raw),Overhear Amount (raw),Overhear Frequency (raw),Practice (raw),Practice Year (raw),Practice Year (clean),Practice Location (raw),Practice Amount (raw),Practice Frequency (raw),Apps (raw),Apps Year (raw),Apps Year (clean),Apps Frequency (raw),Apps Type (raw),Read (raw),Read Year (raw),Read Year (clean),Read Frequency (raw),Read Type (raw),Podcast (raw),Podcast Year (raw),Podcast Year (clean),Podcast Frequency (raw),Music (raw),Music Year (raw),Music Year (clean),Music Frequency (raw),Music Choice (raw),Television (raw),Television Year (raw),Television Year (clean),Television Frequency (raw),Television Subtitles (raw),Abroad (raw),Abroad Speaking (raw),Comments (raw)
2/14/2025 11:27:10,18,Woman,May 2028,first language,Span 202,Span 201,My mom taught me Spanish as my first language and we still speak it around the house occasionally. ,"Advanced: you can read more complex sentences from a native speaker, you can read about past, present, and future events.","Conversational: you can write very simple sentences to a native speaker, for example you can write about your likes and dislikes.",Fluent: you can listen and understand Spanish without translating in your head first.,"Conversational: you can carry out very simple conversations with a native speaker, for example you can talk about your likes and dislikes.",Yes,18 years,18 years,"Home, School",A few conversations,Weekly,Yes,18 years,18 years,Home,A few conversations,Less than once a week,No,,,Less than once a week,,No,,,,,No,,,,Yes,18 years,18 years,Once a week,I turn on the music,No,,,,,Yes I have traveled to Spain and Mexico many times throughout my life.,"Yes, some of the time/to some people",no thank you!
2/14/2025 11:27:40,19,Woman,May 2027,second language,SPAN 202,SPAN 201,"No one spoke Spanish, I only learned through my high school class but it was not very good. ","Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Conversational: you can write very simple sentences to a native speaker, for example you can write about your likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can understand them about likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can talk about your likes and dislikes.",Yes,2 years,2 years,"School, Work, Stores",A few conversations,Daily,No,,,"School, Tutoring",A few conversations,Less than once a week,Yes,2 years,2 years,Once a week,Duolingo,No,,,Less than once a week,,No,,,,Yes,4 years,4 years,Once a day,I turn on the music,No,,,,,Costa Rica but my Spanish was very limited,"Yes, a few words when I needed to",
2/14/2025 11:29:42,19,Man,May 2028,second language,SPAN 202,SPAN 202,All of my family primarily uses Spanish and I grew up using Spanish.,"Advanced: you can read more complex sentences from a native speaker, you can read about past, present, and future events.","Advanced: you can write more complex sentences to a native speaker, you can write about past, present, and future events.",Fluent: you can listen and understand Spanish without translating in your head first.,"Advanced: you can carry out more complex conversations with a native speaker, you can talk about past, present, and future events.",Yes,19,19,"Home, School, Work",A few conversations,Daily,Yes,19,19,"Home, School, Work",A few conversations,Once a week,No,,,,,No,,,,,No,,,,Yes,3,3,Once a day,I turn on the music,No,,,,,"Mexico; 3 times (2 weeks each time)
Spain; 1 time (11 days)","Yes, completely, even to those I was traveling/living with",Nope.
2/14/2025 11:31:46,19,Man,May 2025,second language,SPAN 202,SPAN 201,"I grew up spending a lot of time in mexico so thats where i got the itch to continue learning it. I took all spanish up to AP in middle through highschool and a couple classes at my local university, NAU however not all of those transfered so I have to retake a few of them here at USD. I plan on minoring or majoring in spanish so that will be fun.","Advanced: you can read more complex sentences from a native speaker, you can read about past, present, and future events.","Advanced: you can write more complex sentences to a native speaker, you can write about past, present, and future events.","Advanced: you can carry out more complex conversations with a native speaker, you can understand them about past, present, and future events.","Advanced: you can carry out more complex conversations with a native speaker, you can talk about past, present, and future events.",Yes,19,19,"School, mexico",A few conversations,Daily,Yes,19,19,mexico,Most conversations,Less than once a week,No,,,,,No,,,,,No,,,,Yes,5,5,Once a week,I turn on the music,Yes,2,2,Less than once a week,"Spanish audio, Non-spanish subtitles",a few years on and off in mexico as a child,"Yes, some of the time/to some people",
2/14/2025 11:33:32,18,Man,December 2029,second language,SPAN202,SPAN202,"-Grew up in a Spanish speaking home
-Took Spanish in the 7th grade and junior year of high school. ","Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Conversational: you can write very simple sentences to a native speaker, for example you can write about your likes and dislikes.",Fluent: you can listen and understand Spanish without translating in your head first.,"Advanced: you can carry out more complex conversations with a native speaker, you can talk about past, present, and future events.",Yes,18,18,"Home, Work",Most conversations,Yearly,Yes,16,16,"Home, School",Exclusively Spanish,More than once a day,No,,,,,Yes,,,Once a day,"Magazines, Newspapers, Websites",No,,,Less than once a week,Yes,18,18,More than once a day,I turn on the music,Yes,,,More than once a day,"Spanish audio, no subtitles",,"Yes, completely, even to those I was traveling/living with",
2/14/2025 11:39:05,18,Woman,May 2028,second language,SPAN 201,SPAN 102,I took 4 years of Spanish in highschool including AP Spanish my senior year. My best friend's family spoke Spanish in her home but not directly to me.,"Advanced: you can read more complex sentences from a native speaker, you can read about past, present, and future events.","Advanced: you can write more complex sentences to a native speaker, you can write about past, present, and future events.","Conversational: you can carry out very simple conversations with a native speaker, for example you can understand them about likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can talk about your likes and dislikes.",Yes,13,13,"School, Friends house",A few conversations,Weekly,No,,,,,,No,,,,,No,,,,,No,,,,No,,,,,No,,,,,,,
2/14/2025 12:24:20,18,Woman,May 2028,second language,SPAN 201,SPAN 102,I took spanish classes each year starting in 6th grade,"Advanced: you can read more complex sentences from a native speaker, you can read about past, present, and future events.","Advanced: you can write more complex sentences to a native speaker, you can write about past, present, and future events.","Conversational: you can carry out very simple conversations with a native speaker, for example you can understand them about likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can talk about your likes and dislikes.",No,,,,,,No,,,,,,No,,,,,No,,,,,No,,,,No,,,,,No,,,,,No,,
2/14/2025 12:24:44,19,Man,May 2028,second language,SPAN 201,SPAN 103,I took 3 years of it in High School,"Beginner: you know some vocabulary and grammar, for example you can read a sign to know where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can write a sentence asking where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can understand someone telling you where the restroom is.","Beginner: you know some vocabulary and grammar, for example you can ask where the restroom is.",No,,,,,,No,,,,,,No,,,,,No,,,,,No,,,,No,,,,,No,,,,,Traveled to Mexico for 4 days,"Yes, a few words when I needed to",
2/14/2025 12:25:45,18,Woman,May 2028,third language,Span 201,Span 202,I took Spanish from 7th grade to Sophomore year. ,"Advanced: you can read more complex sentences from a native speaker, you can read about past, present, and future events.","Conversational: you can write very simple sentences to a native speaker, for example you can write about your likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can understand them about likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can talk about your likes and dislikes.",Yes,4 years,4 years,School,A few conversations,Weekly,Yes,0.5 year,0.5 year,"Home, School",A few conversations,Once a day,No,,,,,No,,,,,No,,,,No,,,,,No,,,,,"Yes I have been to Cabo, Tijuana, and Cancun. ","Yes, a few words when I needed to",
2/14/2025 12:26:27,18,Woman,May 2028,language beyond third language,SPAN-201,SPAN-102,I took Spanish courses every year since elementary school with the highest level being Honors Spanish 4 my senior year of high school. ,"Advanced: you can read more complex sentences from a native speaker, you can read about past, present, and future events.","Advanced: you can write more complex sentences to a native speaker, you can write about past, present, and future events.","Conversational: you can carry out very simple conversations with a native speaker, for example you can understand them about likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can talk about your likes and dislikes.",Yes,5 years,5 years,School,A few conversations,Weekly,No,,,,,,No,,,,,No,,,,,No,,,,No,,,,,No,,,,,No,No,
2/14/2025 12:26:33,19,Man,May 2028,second language,SPAN 201,Span 101,I took Spanish in high school over Zoom I could not form sentences in Spanish before taking Spanish 101.,"Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Conversational: you can write very simple sentences to a native speaker, for example you can write about your likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can understand them about likes and dislikes.","Beginner: you know some vocabulary and grammar, for example you can ask where the restroom is.",No,0.5,0.5,School,A few conversations,Weekly,No,,,,,,Yes,1 year,1 year,Once a day,Duolingo,No,,,,,No,,,,Yes,2,2,Once a week,I turn on the music,No,,,,,No,No,no
2/14/2025 12:26:34,19,Man,December 2027,second language,SPAN 201,SPAN 201,I was born in Spain but then moved and forgot it then relearned it a bit in high school. I still understand it but its hard to speak also I could speak well as a child.,"Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Beginner: you know some vocabulary and grammar, for example you can write a sentence asking where the restroom is.","Advanced: you can carry out more complex conversations with a native speaker, you can understand them about past, present, and future events.","Beginner: you know some vocabulary and grammar, for example you can ask where the restroom is.",No,3,3,"Home, Hometown",Exclusively Spanish,Daily,No,,,,,,No,,,,,No,,,,,No,,,,No,,,,,No,,,,,3-5 maybe as a child then travel once a while back home,"Yes, a few words when I needed to",no
2/14/2025 12:26:54,20,Man,May 2026,third language,3,101,None,"Advanced: you can read more complex sentences from a native speaker, you can read about past, present, and future events.","Conversational: you can write very simple sentences to a native speaker, for example you can write about your likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can understand them about likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can talk about your likes and dislikes.",Yes,Since I was born ,_AGE_,"Home, School",Most conversations,Weekly,Yes,1,1,"Home, School, socially",A few conversations,Once a week,No,,,,,No,,,,,No,,,,Yes,5,5,Less than once a week,I turn on the music,No,,,,,I studied abroad in Madrid for 4 months when I was 20 years old. I have been to other spanish speaking countries such as Mexico and Dominican Republic. ,"Yes, some of the time/to some people",No 
2/14/2025 12:27:01,20,Man,May 2027,second language,SPAN 201,SPAN 103,"I took Spanish class from 7th-11th grade and I also took Spanish after school during elementary school from 2-5th grade. My mother's side of the family are Mexican and speak Spanish so when I visit them I speak Spanish with them to the best of my ability, since I am not yet fluent in. ","Advanced: you can read more complex sentences from a native speaker, you can read about past, present, and future events.","Advanced: you can write more complex sentences to a native speaker, you can write about past, present, and future events.","Advanced: you can carry out more complex conversations with a native speaker, you can understand them about past, present, and future events.","Advanced: you can carry out more complex conversations with a native speaker, you can talk about past, present, and future events.",No,3,3,"School, Work, extended family house ",Exclusively Spanish,Monthly,Yes,2,2,"Home, Work",Most conversations,Less than once a week,Yes,3,3,Less than once a week,Duolingo,No,,,,,,,,,,,,,,,,,,,,,
2/14/2025 12:27:15,18,Woman,May 2028,second language,SPAN-201,SPAN-102,"Before I took Spanish at USD, I took three years in high school. I also traveled to Mexico over Spring Break as well. ","Advanced: you can read more complex sentences from a native speaker, you can read about past, present, and future events.","Advanced: you can write more complex sentences to a native speaker, you can write about past, present, and future events.","Conversational: you can carry out very simple conversations with a native speaker, for example you can understand them about likes and dislikes.","Advanced: you can carry out more complex conversations with a native speaker, you can talk about past, present, and future events.",Yes,5 years,5 years,School,A few conversations,Weekly,Yes,4,4,"Home, School",A few conversations,Less than once a week,No,,,,,No,,,,,No,,,,No,,,,,No,,,,,I traveled to Mexico for a week last spring break. ,"Yes, some of the time/to some people",
2/14/2025 12:27:53,22,Woman,May 2026,second language,SPAN 201,SPAN 201,"I took a year of spanish in middle school, 4 years of spanish in highschool, and an elementary Spanish class at my community college.","Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Beginner: you know some vocabulary and grammar, for example you can write a sentence asking where the restroom is.","Conversational: you can carry out very simple conversations with a native speaker, for example you can understand them about likes and dislikes.","Beginner: you know some vocabulary and grammar, for example you can ask where the restroom is.",Yes,2 years,2 years,"School, Work",A few words,Daily,Yes,0.5 years,0.5 years,Home,A few words,Once a day,No,,,,,No,,,,,No,,,,No,,,,,No,,,,,I have not traveled or lived in a Spanish-speaking country,No,
2/14/2025 12:28:25,18,Woman,May 2028,second language,SPAN 201,SPAN 102,My grandparent and dad are fluent in Spanish along with all my family on my dad's side. But I'm not fluent and have only taken school courses to learn Spanish since high school,"Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Conversational: you can write very simple sentences to a native speaker, for example you can write about your likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can understand them about likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can talk about your likes and dislikes.",Yes,yearly especially when I see my family ,_AGE_,Home,A few conversations,Weekly,No,,,,,,No,,,,,No,,,,,No,,,,Yes,5 years,5 years,Once a week,,Yes,2,2,Less than once a week,"Spanish audio, Non-spanish subtitles",I've only visited Mexico when I was younger twice ,No,
2/14/2025 12:54:29,24,Man,May 2025,second language,Span 201,Span 102,Spoke it with my grandmother then she passed away. Now I’m picking the language back up before I graduate from college,"Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Conversational: you can write very simple sentences to a native speaker, for example you can write about your likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can understand them about likes and dislikes.","Beginner: you know some vocabulary and grammar, for example you can ask where the restroom is.",Yes,More than a couple years,More than a couple years,School,A few conversations,Weekly,No,,,,,,Yes,.4 years,0.4 years,Once a week,Jumpspeak,Yes,.4 years,0.4 years,Less than once a week,Websites,No,,,,Yes,1 year,1 year,Once a week,I turn on the music,No,,,,,"The US is a Spanish speaking country, especially being close to Tijuana","Yes, a few words when I needed to",Italian was easier to learn than Spanish
2/17/2025 13:53:04,19,Woman,May 2028,second language,SPAN 201,SPAN 201,I’m Hispanic so Spanish is in my everyday life ,Fluent: you can read Spanish without translating in your head first.,Fluent: you can write Spanish without translating in your head first.,Fluent: you can listen and understand Spanish without translating in your head first.,Fluent: you can speak Spanish without translating in your head first.,Yes,19,19,Home,Exclusively Spanish,Weekly,Yes,19,19,Home,Exclusively Spanish,More than once a day,No,,,,,No,,,,,No,,,,Yes,19,19,More than once a day,I turn on the music,Yes,19,19,More than once a day,"Spanish audio, Non-spanish subtitles",I go to Dominican Republic 3 times a year for minimum a month,"Yes, completely, even to those I was traveling/living with",No
2/25/2025 8:54:09,19,Man,May 2028,first language,Spanish 202,Spanish 201,high school Spanish classes.,"Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Conversational: you can write very simple sentences to a native speaker, for example you can write about your likes and dislikes.","Advanced: you can carry out more complex conversations with a native speaker, you can understand them about past, present, and future events.","Conversational: you can carry out very simple conversations with a native speaker, for example you can talk about your likes and dislikes.",Yes,1,1,School,A few conversations,Weekly,,0,,,A few conversations,Once a day,Yes,1,1,Once a day,dualunguo,No,,,Once a day,,No,0,,,Yes,4,4,More than once a day,I turn on the music,No,0,,Less than once a week,,I have traveled to Mexico and Nicaragua. ,"Yes, some of the time/to some people",n/a
2/26/2025 23:32:06,22,Woman,May 2025,first language,Span 442,Span 303,"I grew up in mexico, on the border so my family spoke only spanish but i would speak english in school. i also took ap spanish and ap spanish literature in school. ",Fluent: you can read Spanish without translating in your head first.,"Advanced: you can write more complex sentences to a native speaker, you can write about past, present, and future events.",Fluent: you can listen and understand Spanish without translating in your head first.,Fluent: you can speak Spanish without translating in your head first.,Yes,Since always ,_AGE_,"School, Work",A few conversations,Daily,Yes,Since always ,_AGE_,Home,Exclusively Spanish,Once a week,No,,,,,No,,,,,No,,,,Yes,since always ,_AGE_,More than once a day,I turn on the music,No,,,,,Yes. I have lived in Mexico since I was born ,"Yes, completely, even to those I was traveling/living with",
2/26/2025 23:32:59,20,Woman,May 2027,second language,SPAN 303,SPAN 202,"My parents both speak some Spanish, so they would use Spanish to communicate with each other when they didn't want me to know what they were saying. I started formally learning Spanish once I got to middle school, and I haven't gone a year without it since then.","Advanced: you can read more complex sentences from a native speaker, you can read about past, present, and future events.","Advanced: you can write more complex sentences to a native speaker, you can write about past, present, and future events.","Advanced: you can carry out more complex conversations with a native speaker, you can understand them about past, present, and future events.","Advanced: you can carry out more complex conversations with a native speaker, you can talk about past, present, and future events.",Yes,15,15,"Home, School",A few conversations,Daily,Yes,1,1,"Home, School",A few conversations,Once a week,No,,,,,No,,,,,No,,,,Yes,5,5,Less than once a week,I turn on the music,No,,,,,"I traveled to Mexico when I was 12 for a week
I traveled to Costa Rica when I was 14 for two weeks
I traveled to Spain when I was 17 for three weeks","Yes, a few words when I needed to",
2/27/2025 7:18:33,18,Woman,May 2028,second language,SPAN 101,SPAN 101,I have had some practice with informal Spanish because of my mom and her side of the family. I have also taken Spanish all throughout high school but at a much slower pace than at USD.,"Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Conversational: you can write very simple sentences to a native speaker, for example you can write about your likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can understand them about likes and dislikes.","Beginner: you know some vocabulary and grammar, for example you can ask where the restroom is.",No,,,,,,No,,,,,,No,,,,,No,,,,,No,,,,Yes,2 years,2 years,Once a week,I turn on the music,Yes,2 years,2 years,Less than once a week,"Spanish audio, Non-spanish subtitles",I have travelled to Mexico for about a week. And some day trips here and there to Tijuana from when I was maybe 6/7 to now (18),"Yes, a few words when I needed to",
2/27/2025 9:31:56,19,Man,May 2028,second language,SPAN 100,SPAN 100,"I grew up in Southern California so I have been around Spanish speakers my whole life. I also took three years of Spanish in high school; two in person, one online.","Conversational: you can read very simple sentences from a native speaker, for example you can read about likes and dislikes.","Conversational: you can write very simple sentences to a native speaker, for example you can write about your likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can understand them about likes and dislikes.","Conversational: you can carry out very simple conversations with a native speaker, for example you can talk about your likes and dislikes.",Yes,14,14,School,A few conversations,Daily,No,,,,,,Yes,0.3,0.3,Once a day,Duolingo,No,,,,,No,,,,No,,,,,Yes,0.3,0.3,Less than once a week,"Spanish audio, Non-spanish subtitles","I've spent 1 day in Mexico one trip, and 12 days in Mexico on another trip.","Yes, a few words when I needed to",No
2/27/2025 10:34:50,19,Woman,May 2027,second language,Span 311,Span 311,My grandparents spoke Spanish and I lived in a border town so it was always around me. My friends from home speak Spanish but I don’t really speak it much by myself or at home. I consume Spanish media like music and shows. I also read Spanish news. ,"Advanced: you can read more complex sentences from a native speaker, you can read about past, present, and future events.","Conversational: you can write very simple sentences to a native speaker, for example you can write about your likes and dislikes.",Fluent: you can listen and understand Spanish without translating in your head first.,"Advanced: you can carry out more complex conversations with a native speaker, you can talk about past, present, and future events.",Yes,19,19,"Home, School, Work",A few conversations,Daily,No,,,,,,No,,,,,No,,,,,No,,,,Yes,19,19,More than once a day,I turn on the music,Yes,19,19,Less than once a week,"Spanish audio, Spanish subtitles",Yes Mexico only for a week,"Yes, some of the time/to some people",
